"filename", "language", "Dart", "YAML", "Markdown", "HTML", "Groovy", "JSON", "Properties", "Swift", "C++", "XML", "comment", "blank", "total"
"/Users/mohanpreet/dev/projects/rodhos/lib/widgets/drawer_item.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"/Users/mohanpreet/dev/projects/rodhos/lib/widgets/edit_dish_dialog.dart", "Dart", 299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 319
"/Users/mohanpreet/dev/projects/rodhos/lib/widgets/home_section.dart", "Dart", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 58
"/Users/mohanpreet/dev/projects/rodhos/lib/widgets/home_section_item.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"/Users/mohanpreet/dev/projects/rodhos/lib/widgets/main_drawer.dart", "Dart", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 53
"/Users/mohanpreet/dev/projects/rodhos/lib/widgets/menu_filters.dart", "Dart", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 102
"/Users/mohanpreet/dev/projects/rodhos/lib/widgets/my_carousel.dart", "Dart", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 90
"/Users/mohanpreet/dev/projects/rodhos/lib/widgets/size_dish_dialog.dart", "Dart", 298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 316
"/Users/mohanpreet/dev/projects/rodhos/lib/widgets/tint_container.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 56
"/Users/mohanpreet/dev/projects/rodhos/pubspec.yaml", "YAML", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 41, 8, 73
"/Users/mohanpreet/dev/projects/rodhos/test/widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"/Users/mohanpreet/dev/projects/rodhos/web/index.html", "HTML", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 14, 6, 99
"/Users/mohanpreet/dev/projects/rodhos/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 2325, 24, 13, 79, 79, 168, 8, 12, 1, 125, 261, 243, 3338
